%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1588238462557633159,6271,1588238462555031061,/gps,0,1,35.6751048783,128.448029517,49.959,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238462685546996,6272,1588238462684814929,/gps,0,1,35.6751048733,128.448029512,49.961,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238462812104313,6273,1588238462810724973,/gps,0,1,35.6751048733,128.448029517,49.959,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238462944444657,6274,1588238462944107055,/gps,0,1,35.6751048767,128.448029523,49.96,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238463070694568,6275,1588238463069566011,/gps,0,1,35.67510487,128.448029512,49.962,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238463201029438,6276,1588238463199027061,/gps,0,1,35.67510487,128.448029523,49.961,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238463327294157,6277,1588238463326764106,/gps,0,1,35.6751048683,128.448029523,49.962,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238463456366194,6278,1588238463455189943,/gps,0,1,35.6751048733,128.448029517,49.962,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238463583707220,6279,1588238463582945108,/gps,0,1,35.6751048867,128.448029528,49.96,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238463681290318,6280,1588238463676585912,/gps,0,1,35.67510488,128.448029523,49.96,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238463808149988,6281,1588238463807457923,/gps,0,1,35.67510487,128.448029535,49.963,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238463930234044,6282,1588238463929888010,/gps,0,1,35.6751048683,128.448029537,49.965,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238464064473392,6283,1588238464063786029,/gps,0,1,35.6751048683,128.448029535,49.964,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238464187658202,6284,1588238464187369108,/gps,0,1,35.675104865,128.44802954,49.963,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238464320227175,6285,1588238464318345069,/gps,0,1,35.6751048633,128.448029537,49.961,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238464446749453,6286,1588238464445647001,/gps,0,1,35.6751048617,128.448029535,49.966,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238464573259529,6287,1588238464572828054,/gps,0,1,35.6751048583,128.448029528,49.964,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238464668359814,6288,1588238464667406082,/gps,0,1,35.6751048633,128.44802952,49.965,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238464832586182,6289,1588238464830204963,/gps,0,1,35.6751048567,128.44802951,49.965,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238464926063676,6290,1588238464925753116,/gps,0,1,35.6751048683,128.448029507,49.964,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238465055248113,6291,1588238465054085969,/gps,0,1,35.675104855,128.448029507,49.965,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238465192599823,6292,1588238465184561014,/gps,0,1,35.675104865,128.448029502,49.966,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238465309635051,6293,1588238465308680057,/gps,0,1,35.6751048517,128.448029502,49.964,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238465442453822,6294,1588238465441385984,/gps,0,1,35.6751048483,128.448029498,49.968,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238465563644948,6295,1588238465563302993,/gps,0,1,35.6751048567,128.448029493,49.968,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238465692470415,6296,1588238465692066907,/gps,0,1,35.6751048483,128.44802949,49.968,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238465821240693,6297,1588238465820647954,/gps,0,1,35.6751048467,128.448029485,49.969,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238465951810708,6298,1588238465950794935,/gps,0,1,35.6751048383,128.44802948,49.969,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238466082687853,6299,1588238466078655004,/gps,0,1,35.6751048333,128.448029477,49.969,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238466206712951,6300,1588238466205679893,/gps,0,1,35.6751048317,128.448029482,49.967,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238466295229629,6301,1588238466294433116,/gps,0,1,35.6751048267,128.44802948,49.966,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238466424965938,6302,1588238466424014091,/gps,0,1,35.6751048133,128.448029482,49.967,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238466555734849,6303,1588238466553162097,/gps,0,1,35.675104815,128.44802948,49.965,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238466684279221,6304,1588238466682981967,/gps,0,1,35.6751048067,128.44802948,49.964,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238466811114458,6305,1588238466810656070,/gps,0,1,35.6751047933,128.448029477,49.967,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238466941828781,6306,1588238466941215038,/gps,0,1,35.6751047933,128.448029477,49.967,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238467066798481,6307,1588238467066348075,/gps,0,1,35.675104785,128.44802948,49.968,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238467197229253,6308,1588238467195621967,/gps,0,1,35.6751047783,128.448029477,49.967,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238467323221230,6309,1588238467322720050,/gps,0,1,35.6751047767,128.44802948,49.969,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238467452999821,6310,1588238467452642917,/gps,0,1,35.6751047617,128.448029473,49.969,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238467582139254,6311,1588238467581239938,/gps,0,1,35.6751047683,128.448029477,49.97,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238467671254390,6312,1588238467670125961,/gps,0,1,35.6751047617,128.448029473,49.971,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238467804027324,6313,1588238467802560091,/gps,0,1,35.6751047783,128.448029483,49.969,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238467934416854,6314,1588238467931380033,/gps,0,1,35.6751047567,128.448029477,49.97,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468057136465,6315,1588238468056601047,/gps,0,1,35.6751047633,128.448029488,49.972,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468187816362,6316,1588238468186419963,/gps,0,1,35.6751047533,128.448029477,49.975,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468316938439,6317,1588238468315979957,/gps,0,1,35.67510476,128.448029493,49.975,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468448503509,6318,1588238468447638034,/gps,0,1,35.6751047567,128.448029495,49.977,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468574943484,6319,1588238468573981046,/gps,0,1,35.675104755,128.44802949,49.977,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468700361865,6320,1588238468698530912,/gps,0,1,35.67510474,128.448029492,49.981,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468829409312,6321,1588238468827461957,/gps,0,1,35.6751047483,128.448029495,49.98,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468956446624,6322,1588238468956062078,/gps,0,1,35.6751047367,128.448029483,49.985,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238469052392837,6323,1588238469051357984,/gps,0,1,35.6751047417,128.448029492,49.984,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
